t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,module,level
1755486777.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486779.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486780.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486781.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486782.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486783.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486784.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486785.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486786.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486787.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486788.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486789.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486790.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486791.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486792.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486793.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486794.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486795.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486796.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486797.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486798.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486799.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486800.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486801.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486802.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486803.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486804.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486805.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486806.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486807.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486808.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486809.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486811.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486812.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486813.0,0.0,0.0,0.0,0.0,0.0,lpc_loop_completed,low
1755486818.0,0.0,0.0,0.0,0.0,0.0,mavlink_mode_tease,low
1755486818.0,0.0,0.0,0.0,0.0,0.0,lpc,low
1755486818.0,0.0,0.0,0.0,0.0,0.0,telemetry_burst_drop,low
1755486818.0,0.0,0.0,0.0,0.0,0.0,lpc,low
1755488496.0,0.0,0.0,0.0,0.0,0.0,telemetry_burst_drop,low
1755488496.0,0.0,0.0,0.0,0.0,0.0,lpc,low
1755488878.0,0.0,0.0,0.0,0.0,0.0,lpc,low
1755488920.0,0.0,0.0,0.0,0.0,0.0,mavlink_packet_injection,cruise
1755489049.0,0.0,0.0,0.0,0.0,0.0,mavlink_packet_injection,cruise
1755489066.0,0.0,0.0,0.0,0.0,0.0,scenario,low
1755489066.0,0.0,0.0,0.0,0.0,0.0,scenario,low
1755489066.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489067.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489068.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489069.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489070.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489071.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489072.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489073.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489074.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489075.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489076.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489077.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489078.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489079.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489080.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489081.0,0.0,0.0,0.0,0.0,0.0,scenario,low
1755489081.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489081.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489082.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489082.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489083.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489083.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489084.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489084.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489085.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
