t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
18.1,0,0,0,0,0,5760,
18.2,0,0,0,0,0,5760,
18.3,0,0,0,0,0,5760,
18.4,0,0,0,0,0,5760,
18.5,0,0,0,0,0,5760,
18.6,0,0,0,0,0,5760,
18.7,0,0,0,0,0,5760,
18.8,0,0,0,0,0,5760,
18.9,0,0,0,0,0,5760,
19.0,0,0,0,0,0,5760,
19.1,0,0,0,0,0,5760,
19.2,0,0,0,0,0,5760,
19.3,0,0,0,0,0,5760,
19.4,0,0,0,0,0,5760,
19.5,0,0,0,0,0,5760,
19.6,0,0,0,0,0,5760,
19.7,0,0,0,0,0,5760,
19.8,0,0,0,0,0,5760,
19.9,0,0,0,0,0,5760,
20.0,0,0,0,0,0,5760,
20.1,0,0,0,0,0,5760,
20.2,0,0,0,0,0,5760,
20.3,0,0,0,0,0,5760,
20.4,0,0,0,0,0,5760,
20.5,0,0,0,0,0,5760,
20.6,0,0,0,0,0,5760,
20.7,0,0,0,0,0,5760,
20.8,0,0,0,0,0,5760,
20.9,0,0,0,0,0,5760,
21.0,0,0,0,0,0,5760,
21.1,0,0,0,0,0,5760,
21.2,0,0,0,0,0,5760,
21.3,0,0,0,0,0,5760,
21.4,0,0,0,0,0,5760,
21.5,0,0,0,0,0,5760,
21.6,0,0,0,0,0,5760,
21.7,0,0,0,0,0,5760,
21.8,0,0,0,0,0,5760,
21.9,0,0,0,0,0,5760,
22.0,0,0,0,0,0,5760,
22.1,0,0,0,0,0,5760,
22.2,0,0,0,0,0,5760,
22.3,0,0,0,0,0,5760,
22.4,0,0,0,0,0,5760,
22.5,0,0,0,0,0,5760,
22.6,0,0,0,0,0,5760,
22.7,0,0,0,0,0,5760,
22.8,0,0,0,0,0,5760,
22.9,0,0,0,0,0,5760,
23.0,0,0,0,0,0,5760,
23.1,0,0,0,0,0,5760,
23.2,0,0,0,0,0,5760,
23.3,0,0,0,0,0,5760,
23.4,0,0,0,0,0,5760,
23.5,0,0,0,0,0,5760,
23.6,0,0,0,0,0,5760,
23.7,0,0,0,0,0,5760,
23.8,0,0,0,0,0,5760,
23.9,0,0,0,0,0,5760,
24.0,0,0,0,0,0,5760,
24.1,0,0,0,0,0,5760,
24.2,0,0,0,0,0,5760,
24.3,0,0,0,0,0,5760,
24.4,0,0,0,0,0,5760,
24.5,0,0,0,0,0,5760,
24.6,0,0,0,0,0,5760,
24.7,0,0,0,0,0,5760,
24.8,0,0,0,0,0,5760,
24.9,0,0,0,0,0,5760,
25.0,0,0,0,0,0,5760,
25.1,0,0,0,0,0,5760,
25.2,0,0,0,0,0,5760,
25.3,0,0,0,0,0,5760,
25.4,0,0,0,0,0,5760,
25.5,0,0,0,0,0,5760,
25.6,0,0,0,0,0,5760,
25.7,0,0,0,0,0,5760,
25.8,0,0,0,0,0,5760,
25.9,0,0,0,0,0,5760,
26.0,0,0,0,0,0,5760,
26.1,0,0,0,0,0,5760,
26.2,0,0,0,0,0,5760,
26.3,0,0,0,0,0,5760,
26.4,0,0,0,0,0,5760,
26.5,0,0,0,0,0,5760,
26.6,0,0,0,0,0,5760,
26.7,0,0,0,0,0,5760,
26.8,0,0,0,0,0,5760,
26.9,0,0,0,0,0,5760,
27.0,0,0,0,0,0,5760,
27.1,0,0,0,0,0,5760,
27.2,0,0,0,0,0,5760,
27.3,0,0,0,0,0,5760,
27.4,0,0,0,0,0,5760,
27.5,0,0,0,0,0,5760,
27.6,0,0,0,0,0,5760,
27.7,0,0,0,0,0,5760,
27.8,0,0,0,0,0,5760,
27.9,0,0,0,0,0,5760,
28.0,0,0,0,0,0,5760,
28.1,0,0,0,0,0,5760,
28.2,0,0,0,0,0,5760,
28.3,0,0,0,0,0,5760,
28.4,0,0,0,0,0,5760,
28.5,0,0,0,0,0,5760,
28.6,0,0,0,0,0,5760,
28.7,0,0,0,0,0,5760,
28.8,0,0,0,0,0,5760,
28.9,0,0,0,0,0,5760,
29.0,0,0,0,0,0,5760,
29.1,0,0,0,0,0,5760,
29.2,0,0,0,0,0,5760,
29.3,0,0,0,0,0,5760,
