Timestamp,SrcIP,DstIP,Protocol,DstPort,PacketSize
18.7597,10.13.0.5,10.13.0.1,TCP,54466,66
18.7604,10.13.0.5,10.13.0.1,TCP,54466,382
18.7617,10.13.0.1,10.13.0.5,TCP,8000,66
18.7628,10.13.0.1,10.13.0.5,TCP,8000,538
18.7652,10.13.0.5,10.13.0.1,TCP,54454,66
18.7671,10.13.0.1,10.13.0.5,TCP,8000,538
18.7696,10.13.0.5,10.13.0.1,TCP,54450,66
18.7706,10.13.0.1,10.13.0.5,TCP,8000,544
18.7714,10.13.0.5,10.13.0.1,TCP,54436,66
18.7716,10.13.0.1,10.13.0.5,TCP,8000,534
18.7718,10.13.0.5,10.13.0.1,TCP,54424,66
18.7721,10.13.0.1,10.13.0.5,TCP,8000,66
18.7723,10.13.0.1,10.13.0.5,TCP,8000,66
18.7725,10.13.0.5,10.13.0.1,TCP,54474,66
18.7773,10.13.0.1,10.13.0.5,TCP,8000,66
18.7783,10.13.0.5,10.13.0.1,TCP,54424,375
18.7792,10.13.0.1,10.13.0.5,TCP,8000,66
18.7795,10.13.0.5,10.13.0.1,TCP,54436,385
18.7798,10.13.0.1,10.13.0.5,TCP,8000,66
18.7803,10.13.0.1,10.13.0.5,TCP,8000,74
18.7807,10.13.0.5,10.13.0.1,TCP,54482,74
18.7811,10.13.0.1,10.13.0.5,TCP,8000,66
18.7814,10.13.0.1,10.13.0.5,TCP,8000,74
18.7817,10.13.0.5,10.13.0.1,TCP,54496,74
18.7821,10.13.0.1,10.13.0.5,TCP,8000,66
18.7823,10.13.0.1,10.13.0.5,TCP,8000,66
18.7852,10.13.0.5,10.13.0.1,TCP,54424,66
18.7864,10.13.0.1,10.13.0.5,TCP,8000,66
18.7868,10.13.0.5,10.13.0.1,TCP,54466,66
18.7872,10.13.0.1,10.13.0.5,TCP,8000,66
18.7875,10.13.0.1,10.13.0.5,TCP,8000,66
18.7877,10.13.0.5,10.13.0.1,TCP,54436,66
18.7878,10.13.0.1,10.13.0.5,TCP,8000,66
18.7882,10.13.0.5,10.13.0.1,TCP,54454,379
18.7888,10.13.0.1,10.13.0.5,TCP,8000,66
18.7896,10.13.0.5,10.13.0.1,TCP,54450,379
18.7942,10.13.0.1,10.13.0.5,TCP,8000,66
18.7946,10.13.0.1,10.13.0.5,TCP,8000,543
18.7950,10.13.0.5,10.13.0.1,TCP,54482,66
18.7953,10.13.0.1,10.13.0.5,TCP,8000,547
18.7959,10.13.0.5,10.13.0.1,TCP,54496,66
18.7964,10.13.0.5,10.13.0.1,TCP,54496,388
18.7992,10.13.0.1,10.13.0.5,TCP,8000,66
18.8000,10.13.0.5,10.13.0.1,TCP,54482,384
18.8003,10.13.0.1,10.13.0.5,TCP,8000,66
18.8006,10.13.0.5,10.13.0.1,TCP,54454,66
18.8016,10.13.0.5,10.13.0.1,TCP,54450,66
18.8022,10.13.0.1,10.13.0.5,TCP,8000,66
18.8027,10.13.0.5,10.13.0.1,TCP,54454,66
18.8030,10.13.0.1,10.13.0.5,TCP,8000,66
18.8034,10.13.0.5,10.13.0.1,TCP,54450,66
18.8039,10.13.0.1,10.13.0.5,TCP,8000,66
18.8043,10.13.0.1,10.13.0.5,TCP,8000,66
18.8046,10.13.0.1,10.13.0.5,TCP,8000,74
18.8049,10.13.0.5,10.13.0.1,TCP,54482,66
18.8052,10.13.0.5,10.13.0.1,TCP,54498,74
18.8058,10.13.0.1,10.13.0.5,TCP,8000,66
18.8062,10.13.0.1,10.13.0.5,TCP,8000,66
18.8065,10.13.0.1,10.13.0.5,TCP,8000,74
18.8067,10.13.0.5,10.13.0.1,TCP,54512,74
18.8069,10.13.0.1,10.13.0.5,TCP,8000,66
18.8084,10.13.0.1,10.13.0.5,TCP,8000,74
18.8087,10.13.0.5,10.13.0.1,TCP,54518,74
18.8089,10.13.0.1,10.13.0.5,TCP,8000,66
18.8103,10.13.0.1,10.13.0.5,TCP,8000,74
18.8105,10.13.0.5,10.13.0.1,TCP,54534,74
18.8108,10.13.0.1,10.13.0.5,TCP,8000,66
18.8139,10.13.0.5,10.13.0.1,TCP,54496,66
18.8142,10.13.0.1,10.13.0.5,TCP,8000,66
18.8145,10.13.0.1,10.13.0.5,TCP,8000,547
18.8147,10.13.0.5,10.13.0.1,TCP,54512,66
18.8151,10.13.0.1,10.13.0.5,TCP,8000,543
18.8153,10.13.0.5,10.13.0.1,TCP,54498,66
18.8155,10.13.0.1,10.13.0.5,TCP,8000,74
18.8157,10.13.0.5,10.13.0.1,TCP,54544,74
18.8159,10.13.0.1,10.13.0.5,TCP,8000,66
18.8161,10.13.0.5,10.13.0.1,TCP,54512,388
18.8163,10.13.0.1,10.13.0.5,TCP,8000,66
18.8166,10.13.0.5,10.13.0.1,TCP,54498,384
18.8169,10.13.0.1,10.13.0.5,TCP,8000,66
18.8171,10.13.0.1,10.13.0.5,TCP,8000,74
18.8173,10.13.0.5,10.13.0.1,TCP,54552,74
18.8176,10.13.0.1,10.13.0.5,TCP,8000,66
18.8178,10.13.0.1,10.13.0.5,TCP,8000,542
18.8180,10.13.0.5,10.13.0.1,TCP,54534,66
18.8182,10.13.0.1,10.13.0.5,TCP,8000,541
18.8184,10.13.0.5,10.13.0.1,TCP,54518,66
18.8186,10.13.0.1,10.13.0.5,TCP,8000,66
18.8188,10.13.0.1,10.13.0.5,TCP,8000,66
18.8191,10.13.0.1,10.13.0.5,TCP,8000,549
18.8193,10.13.0.5,10.13.0.1,TCP,54552,66
18.8334,10.13.0.1,10.13.0.5,TCP,8000,547
18.8336,10.13.0.5,10.13.0.1,TCP,54544,66
18.8338,10.13.0.1,10.13.0.5,TCP,8000,74
18.8340,10.13.0.5,10.13.0.1,TCP,54566,74
18.8342,10.13.0.1,10.13.0.5,TCP,8000,66
18.8353,10.13.0.1,10.13.0.5,TCP,8000,74
18.8370,10.13.0.5,10.13.0.1,TCP,54578,74
18.8372,10.13.0.1,10.13.0.5,TCP,8000,66
18.8375,10.13.0.1,10.13.0.5,TCP,8000,544
18.8377,10.13.0.5,10.13.0.1,TCP,54578,66
18.8409,10.13.0.1,10.13.0.5,TCP,8000,548
18.8414,10.13.0.5,10.13.0.1,TCP,54566,66
18.8416,10.13.0.5,10.13.0.1,TCP,54498,66
18.8419,10.13.0.1,10.13.0.5,TCP,8000,66
18.8435,10.13.0.5,10.13.0.1,TCP,54512,66
18.8437,10.13.0.1,10.13.0.5,TCP,8000,66
18.8441,10.13.0.5,10.13.0.1,TCP,54518,382
18.8445,10.13.0.1,10.13.0.5,TCP,8000,66
18.8448,10.13.0.5,10.13.0.1,TCP,54534,383
18.8465,10.13.0.1,10.13.0.5,TCP,8000,66
18.8478,10.13.0.1,10.13.0.5,TCP,8000,66
18.8480,10.13.0.1,10.13.0.5,TCP,8000,66
18.8482,10.13.0.5,10.13.0.1,TCP,54552,390
18.8484,10.13.0.1,10.13.0.5,TCP,8000,66
18.8508,10.13.0.5,10.13.0.1,TCP,54518,66
18.8518,10.13.0.1,10.13.0.5,TCP,8000,66
18.8528,10.13.0.5,10.13.0.1,TCP,54534,66
18.8531,10.13.0.1,10.13.0.5,TCP,8000,66
18.8533,10.13.0.5,10.13.0.1,TCP,54544,388
18.8536,10.13.0.1,10.13.0.5,TCP,8000,66
18.8538,10.13.0.5,10.13.0.1,TCP,54578,385
18.8567,10.13.0.1,10.13.0.5,TCP,8000,66
18.8570,10.13.0.5,10.13.0.1,TCP,54566,389
18.8575,10.13.0.1,10.13.0.5,TCP,8000,66
18.8577,10.13.0.1,10.13.0.5,TCP,8000,66
18.8583,10.13.0.1,10.13.0.5,TCP,8000,66
18.8586,10.13.0.1,10.13.0.5,TCP,8000,66
18.8589,10.13.0.1,10.13.0.5,TCP,8000,66
